series,date,state,sector,value
abs,01/01/2017,W.P. Labuan,Manufacturing,1295.515
abs,01/01/2017,W.P. Labuan,Construction,135.768
abs,01/01/2017,W.P. Labuan,Services,5092.569
abs,01/01/2017,W.P. Labuan,Import Duties,147.231
abs,01/01/2018,Johor,Overall GDP,130585.945
abs,01/01/2018,Johor,Agriculture,16246.395
abs,01/01/2018,Johor,Mining & Quarrying,711.119
abs,01/01/2018,Johor,Manufacturing,38337.729
abs,01/01/2018,Johor,Construction,9217.347
abs,01/01/2018,Johor,Services,64401.807
abs,01/01/2018,Johor,Import Duties,1671.547
abs,01/01/2018,Kedah,Overall GDP,44803.83
abs,01/01/2018,Kedah,Agriculture,5467.96
abs,01/01/2018,Kedah,Mining & Quarrying,114.924
abs,01/01/2018,Kedah,Manufacturing,12827.215
abs,01/01/2018,Kedah,Construction,1008.855
abs,01/01/2018,Kedah,Services,25104.159
abs,01/01/2018,Kedah,Import Duties,280.717
abs,01/01/2018,Kelantan,Overall GDP,24142.691
abs,01/01/2018,Kelantan,Agriculture,5430.623
abs,01/01/2018,Kelantan,Mining & Quarrying,359.496
abs,01/01/2018,Kelantan,Manufacturing,1281.173
abs,01/01/2018,Kelantan,Construction,324.425
abs,01/01/2018,Kelantan,Services,16721.126
abs,01/01/2018,Kelantan,Import Duties,25.848
abs,01/01/2018,Melaka,Overall GDP,42375.671
abs,01/01/2018,Melaka,Agriculture,4567.438
abs,01/01/2018,Melaka,Mining & Quarrying,61.964
abs,01/01/2018,Melaka,Manufacturing,16334.858
abs,01/01/2018,Melaka,Construction,1495.597
abs,01/01/2018,Melaka,Services,19730.706
abs,01/01/2018,Melaka,Import Duties,185.109
abs,01/01/2018,Negeri Sembilan,Overall GDP,45694.04
abs,01/01/2018,Negeri Sembilan,Agriculture,3323.09
abs,01/01/2018,Negeri Sembilan,Mining & Quarrying,223.609
abs,01/01/2018,Negeri Sembilan,Manufacturing,17208.037
abs,01/01/2018,Negeri Sembilan,Construction,1915.685
abs,01/01/2018,Negeri Sembilan,Services,22126.197
abs,01/01/2018,Negeri Sembilan,Import Duties,897.422
abs,01/01/2018,Pahang,Overall GDP,56289.94
abs,01/01/2018,Pahang,Agriculture,12418.561
abs,01/01/2018,Pahang,Mining & Quarrying,705.115
abs,01/01/2018,Pahang,Manufacturing,12194.343
abs,01/01/2018,Pahang,Construction,2399.236
abs,01/01/2018,Pahang,Services,28453.955
abs,01/01/2018,Pahang,Import Duties,118.73
abs,01/01/2018,Perak,Overall GDP,73030.81
abs,01/01/2018,Perak,Agriculture,10993.834
abs,01/01/2018,Perak,Mining & Quarrying,460.602
abs,01/01/2018,Perak,Manufacturing,13221.631
abs,01/01/2018,Perak,Construction,2336.763
abs,01/01/2018,Perak,Services,45910.8
abs,01/01/2018,Perak,Import Duties,107.18
abs,01/01/2018,Perlis,Overall GDP,5885.364
abs,01/01/2018,Perlis,Agriculture,1260.332
abs,01/01/2018,Perlis,Mining & Quarrying,32.582
abs,01/01/2018,Perlis,Manufacturing,465.657
abs,01/01/2018,Perlis,Construction,147.251
abs,01/01/2018,Perlis,Services,3881.139
abs,01/01/2018,Perlis,Import Duties,98.404
abs,01/01/2018,Pulau Pinang,Overall GDP,91234.235
abs,01/01/2018,Pulau Pinang,Agriculture,1969.23
abs,01/01/2018,Pulau Pinang,Mining & Quarrying,156.363
abs,01/01/2018,Pulau Pinang,Manufacturing,39458.422
abs,01/01/2018,Pulau Pinang,Construction,2619.567
abs,01/01/2018,Pulau Pinang,Services,46120.484
abs,01/01/2018,Pulau Pinang,Import Duties,910.17
abs,01/01/2018,Sabah,Overall GDP,85012.016
abs,01/01/2018,Sabah,Agriculture,13836.318
abs,01/01/2018,Sabah,Mining & Quarrying,23993.921
abs,01/01/2018,Sabah,Manufacturing,6513.729
abs,01/01/2018,Sabah,Construction,2918.088
abs,01/01/2018,Sabah,Services,37423.047
abs,01/01/2018,Sabah,Import Duties,326.914
abs,01/01/2018,Sarawak,Overall GDP,133009.823
abs,01/01/2018,Sarawak,Agriculture,16614.458
abs,01/01/2018,Sarawak,Mining & Quarrying,29626.577
abs,01/01/2018,Sarawak,Manufacturing,35579.068
abs,01/01/2018,Sarawak,Construction,4402.37
abs,01/01/2018,Sarawak,Services,46312.482
abs,01/01/2018,Sarawak,Import Duties,474.869
abs,01/01/2018,Selangor,Overall GDP,323215.439
abs,01/01/2018,Selangor,Agriculture,4534.651
abs,01/01/2018,Selangor,Mining & Quarrying,737.317
abs,01/01/2018,Selangor,Manufacturing,91132.978
abs,01/01/2018,Selangor,Construction,18645.768
abs,01/01/2018,Selangor,Services,200323.506
abs,01/01/2018,Selangor,Import Duties,7841.217
abs,01/01/2018,Terengganu,Overall GDP,34838.208
abs,01/01/2018,Terengganu,Agriculture,2846.927
abs,01/01/2018,Terengganu,Mining & Quarrying,183.225
abs,01/01/2018,Terengganu,Manufacturing,13055.539
abs,01/01/2018,Terengganu,Construction,1161.133
abs,01/01/2018,Terengganu,Services,17527.333
abs,01/01/2018,Terengganu,Import Duties,64.051
abs,01/01/2018,W.P. Kuala Lumpur,Overall GDP,220358.974
abs,01/01/2018,W.P. Kuala Lumpur,Agriculture,0
abs,01/01/2018,W.P. Kuala Lumpur,Mining & Quarrying,145.724
abs,01/01/2018,W.P. Kuala Lumpur,Manufacturing,5867.619
abs,01/01/2018,W.P. Kuala Lumpur,Construction,17446.124
abs,01/01/2018,W.P. Kuala Lumpur,Services,193472.341
abs,01/01/2018,W.P. Kuala Lumpur,Import Duties,3425.512
abs,01/01/2018,W.P. Labuan,Overall GDP,7244.941
abs,01/01/2018,W.P. Labuan,Agriculture,125.608
abs,01/01/2018,W.P. Labuan,Mining & Quarrying,0
abs,01/01/2018,W.P. Labuan,Manufacturing,1364.66
abs,01/01/2018,W.P. Labuan,Construction,156.064
abs,01/01/2018,W.P. Labuan,Services,5480.777
abs,01/01/2018,W.P. Labuan,Import Duties,117.831
abs,01/01/2019,Johor,Overall GDP,134225.938
abs,01/01/2019,Johor,Agriculture,16403.246
abs,01/01/2019,Johor,Mining & Quarrying,812.547
abs,01/01/2019,Johor,Manufacturing,40124.896
abs,01/01/2019,Johor,Construction,6699.7
abs,01/01/2019,Johor,Services,68576.722
abs,01/01/2019,Johor,Import Duties,1608.826
abs,01/01/2019,Kedah,Overall GDP,46841.199
abs,01/01/2019,Kedah,Agriculture,5645.724
abs,01/01/2019,Kedah,Mining & Quarrying,125.34
abs,01/01/2019,Kedah,Manufacturing,13429.618
abs,01/01/2019,Kedah,Construction,1090.383
